Price,Year,Home_size,Parcel_size,Beds,Age,Pool,X_coord,Y_coord,cbd_dist
65.273,2000,1340,23408,4,40,0,513929.4,1557873,10350.93
65.53,2000,1726,13478,5,45,0,491664.8,1583961,20796.18
65.632,2003,1216,1966,3,10,0,462569.0,1531795,22018.09
65.643,2003,1080,10004,3,23,0,512687.5,1531463,6749.61
65.645,2002,1764,6889,3,31,0,505340.4,1555065,11580.21
65.665,2002,1175,7335,4,30,0,512887.4,1539398,7150.05
65.68,2004,712,9519,2,39,0,535483.0,1503498,8411.8
65.683,2002,794,6999,2,17,0,535806.8,1547972,5150.13
65.686,2000,1103,1764,3,13,0,540632.0,1472529,17932.95
65.702,2005,1172,6747,3,35,0,491555.0,1569831,17697.55
65.882,2000,1263,6643,3,41,0,594935.4,1546273,18886.72
65.938,2003,900,9139,3,44,0,595534.1,1545498,19007.79
65.975,2003,1148,12148,3,37,0,492372.9,1582599,20338.56
65.985,2000,1246,6143,3,35,0,540282.4,1521687,3313.0
66.025,2000,1102,8046,2,44,0,520803.7,1535725,4502.21
66.026,2001,1540,8392,4,32,0,517152.2,1519376,6532.09
66.127,2000,1000,6638,3,31,0,513181.5,1498738,11864.01
66.228,2002,938,3373,3,16,0,462888.2,1533020,21930.19
66.278,2000,1197,10014,3,41,0,511295.1,1530037,7180.23
66.296,2001,952,5575,2,22,0,513758.2,1550299,8687.78
66.349,2003,1157,8961,3,20,0,505115.7,1529988,9062.1
66.409,2003,1347,8400,2,24,0,518044.9,1557324,9488.5
66.672,2003,1024,7490,3,32,0,505697.1,1531557,8879.74
66.88,2003,1066,12026,3,35,0,512676.8,1535930,6912.66
66.94,2000,1532,8075,3,42,1,509677.1,1537602,7918.0
66.952,2005,1020,6969,2,46,0,505697.3,1532223,8885.19
66.997,2001,724,5931,2,44,0,537983.2,1554617,7230.15
67.001,2000,1260,6349,3,35,0,491413.3,1579183,19741.42
67.036,2002,1079,9004,3,24,0,559815.6,1529391,7628.8
67.064,2004,744,7079,2,24,0,522721.6,1532498,3715.92
67.157,2001,982,4697,2,18,0,517055.5,1485866,14808.64
67.246,2002,1200,12003,3,48,0,492111.0,1583361,20568.46
67.393,2004,1015,7150,3,45,0,516794.1,1535553,5662.53
67.42,2002,1296,16254,3,43,0,510503.4,1529638,7427.49
67.518,2002,1232,9192,3,12,0,506391.8,1538685,8970.03
67.594,2003,975,7282,2,34,0,512704.5,1499256,11815.45
67.615,2002,2145,7045,6,45,0,530699.4,1525457,2131.46
67.625,2001,1145,10660,3,42,0,491127.1,1584474,21020.79
67.67,2003,984,2265,3,16,0,462910.3,1532433,21919.42
67.703,2000,1058,6983,3,30,0,531814.3,1498495,9976.61
67.759,2004,1200,10134,4,24,0,527598.4,1514582,5494.27
67.822,2003,924,7263,3,13,0,540343.9,1490088,12607.77
67.871,2001,864,7498,4,43,0,522612.4,1532663,3755.01
67.901,2002,1142,6849,3,7,0,531150.4,1523233,2646.42
67.942,2004,894,9844,2,45,0,510790.3,1530339,7330.39
67.976,2000,1221,5512,2,17,0,517292.2,1485452,14900.11
68.007,2002,1242,9999,3,41,0,499151.6,1546791,11876.34
68.148,2001,1073,6749,3,44,0,547507.7,1499074,10493.62
68.166,2001,1436,15599,2,71,0,484148.1,1542916,15858.8
68.206,2001,832,13487,2,61,0,528266.8,1520754,3733.71
68.245,2001,1545,5445,2,13,0,559032.0,1535362,7485.95
